domain	year	live	used_in_csv
sonntagsblick.ch	2021	yes	no
sonntagsblick.ch	2022	yes	no
sonntagsblick.ch	2023	yes	no
sonntagsblick.ch	2024	yes	no
sonntagsblick.ch	2025	yes	no
sonntagsblick.ch	2026	yes	no
sonntagszeitung.ch	2016	yes	no
sonntagszeitung.ch	2017	yes	no
sonntagszeitung.ch	2018	yes	yes
sonntagszeitung.ch	2019	yes	yes
sonntagszeitung.ch	2020	yes	no
sonntagszeitung.ch	2021	yes	yes
sonntagszeitung.ch	2022	yes	no
sonntagszeitung.ch	2023	yes	yes
sonntagszeitung.ch	2024	yes	yes
sonntagszeitung.ch	2025	yes	yes
sonntagszeitung.ch	2026	yes	yes
spiegel.de	2018	yes	yes
srf.ch	2016	yes	yes
srf.ch	2017	yes	yes
srf.ch	2018	yes	yes
srf.ch	2019	yes	yes
srf.ch	2020	yes	yes
srf.ch	2021	yes	yes
srf.ch	2022	yes	yes
srf.ch	2023	yes	yes
srf.ch	2024	yes	yes
srf.ch	2025	yes	yes
srf.ch	2026	yes	yes
tagesanzeiger.ch	2016	yes	yes
tagesanzeiger.ch	2017	yes	yes
tagesanzeiger.ch	2018	yes	yes
tagesanzeiger.ch	2019	yes	yes
tagesanzeiger.ch	2020	yes	yes
tagesanzeiger.ch	2021	yes	yes
tagesanzeiger.ch	2022	yes	yes
tagesanzeiger.ch	2023	yes	yes
tagesanzeiger.ch	2024	yes	yes
tagesanzeiger.ch	2025	yes	yes
tagesanzeiger.ch	2026	yes	yes
tdg.ch	2016	yes	yes
tdg.ch	2017	yes	yes
tdg.ch	2018	yes	yes
tdg.ch	2019	yes	yes
tdg.ch	2020	yes	yes
tdg.ch	2021	yes	yes
tdg.ch	2022	yes	yes
tdg.ch	2023	yes	yes
tdg.ch	2024	yes	yes
tdg.ch	2025	yes	yes
tdg.ch	2026	yes	yes
teletext.ch	2016	yes	yes
teletext.ch	2017	yes	yes
teletext.ch	2018	yes	yes
teletext.ch	2019	yes	yes
teletext.ch	2020	yes	yes
teletext.ch	2021	yes	yes
teletext.ch	2022	yes	yes
teletext.ch	2023	yes	yes
teletext.ch	2024	yes	yes
teletext.ch	2025	yes	yes
teletext.ch	2026	yes	yes
watson.ch	2016	yes	no
watson.ch	2017	yes	yes
watson.ch	2018	yes	yes
watson.ch	2019	yes	yes
watson.ch	2020	yes	yes
watson.ch	2021	yes	yes
watson.ch	2022	yes	yes
watson.ch	2023	yes	yes
watson.ch	2024	yes	yes
watson.ch	2025	yes	yes
watson.ch	2026	yes	yes
yahoo.com	2016	?	yes
yahoo.com	2017	yes	yes
yahoo.com	2018	yes	yes
yahoo.com	2019	?	yes
yahoo.com	2020	?	yes
yahoo.com	2021	?	yes
yahoo.com	2023	?	yes
yahoo.com	2024	?	yes
yahoo.com	2025	?	yes
yahoo.com	2026	?	yes
