outlet_id	domain	year	brand_type	verdict	tier	artefact_url	http_status	title	matched_keyword	article_urls	shared_domain	checked_on	human_checked	human_verdict	human_note
che_blick	blick.ch	2018	outlet	shared	A3	https://web.archive.org/web/20180701020254id_/http://www.blick.ch/	200	Nachrichten aus der Schweiz und aller Welt - Blick	blick		yes	2026-09-14			
che_blick	blick.ch	2019	outlet	shared	A3	https://web.archive.org/web/20190630232116id_/https://www.blick.ch/	200	BLICK: Nachrichten und Schlagzeilen aus der Schweiz und aller Welt	blick	300	yes	2026-09-14			
che_blick	blick.ch	2020	outlet	shared	A3	https://web.archive.org/web/20200630185613id_/https://www.blick.ch/	200	BLICK: Nachrichten und Schlagzeilen aus der Schweiz und aller Welt	blick	300	yes	2026-09-14			
che_blick	blick.ch	2021	outlet	shared	A3	https://web.archive.org/web/20210630224224id_/https://www.blick.ch/	200	Blick: Nachrichten und Schlagzeilen aus der Schweiz und aller Welt	blick		yes	2026-09-14			
che_blick	blick.ch	2022	outlet	shared	A3	https://web.archive.org/web/20220701002904id_/https://www.blick.ch/	200	Blick: Nachrichten und Schlagzeilen aus der Schweiz und aller Welt	blick		yes	2026-09-14			
che_blick	blick.ch	2023	outlet	shared	A3	https://web.archive.org/web/20230703024813id_/https://www.blick.ch/	200	Blick: Nachrichten und Schlagzeilen aus der Schweiz und aller Welt	blick		yes	2026-09-14			
che_blick	blick.ch	2025	outlet	shared	A3	https://web.archive.org/web/20250701023732id_/https://www.blick.ch/	200	Blick: Nachrichten und Schlagzeilen aus der Schweiz und aller Welt	blick	0	yes	2026-09-14			
che_blickamabend	blickamabend.ch	2017	outlet	A3	A3	https://web.archive.org/web/20170630181702id_/https://www.blickamabend.ch/	200	Nachrichten, die wirklich unterhalten - Blick am Abend	blickamabend	300	no	2026-09-14			
che_bluenews	bluewin.ch	2017	aggregator	A3	A3	https://web.archive.org/web/20170630220005id_/https://www.bluewin.ch/de/index.html	200	Bluewin | Top News online, Sport, Unterhaltung & Online TV	bluewin	300	no	2026-09-14			
che_bluenews	bluewin.ch	2018	aggregator	A3	A3	https://web.archive.org/web/20180630083420id_/https://www.bluewin.ch/de/index.html	200	Bluewin - Home	bluewin	300	no	2026-09-14			
che_lematin	lematin.ch	2016	outlet	shared	A3	https://web.archive.org/web/20160629212030id_/http://www.lematin.ch/	200	Le Matin, l'actualité en direct: sports, people, politique, économie, multimédia	lematin	300	yes	2026-09-14			
che_lematin	lematin.ch	2017	outlet	shared	A3	https://web.archive.org/web/20170701132114id_/http://www.lematin.ch/	200	Le Matin, l'actualité en direct: Suisse, sports, people, faits divers, politique, économie, techno, auto	lematin	300	yes	2026-09-14			
che_lematin	lematin.ch	2020	outlet	shared	A3	https://web.archive.org/web/20200630183848id_/https://www.lematin.ch/	200	Le Matin, l'actualité en direct: Suisse, sports, people, faits divers, politique, économie, techno, auto	lematin		yes	2026-09-14			
che_lematin	lematin.ch	2023	outlet	shared	A3	https://web.archive.org/web/20230630235304id_/http://www.lematin.ch/	200	Le Matin: toute l'actualité en Suisse et dans le monde	lematin		yes	2026-09-14			
che_lematin	lematin.ch	2026	outlet	shared		https://web.archive.org/web/20260701043139id_/https://www.lematin.ch/	200			300	yes	2026-09-14			
che_lematindimanche	lematin.ch	2019	outlet	shared	A3	https://web.archive.org/web/20190701000423id_/https://www.lematin.ch/	200	Le Matin, l'actualité en direct: Suisse, sports, people, faits divers, politique, économie, techno, auto	matin	300	yes	2026-09-14			
che_lematindimanche	lematin.ch	2022	outlet	shared		https://web.archive.org/web/20220701000000id_/http://lematin.ch/	500			300	yes	2026-09-14			
che_lematindimanche	lematin.ch	2025	outlet	shared	A3	https://web.archive.org/web/20250701002453id_/https://www.lematin.ch/	200	Le Matin: toute l'actualité en Suisse et dans le monde	matin		yes	2026-09-14			
che_letemps	letemps.ch	2022	outlet	A3	A3	https://web.archive.org/web/20220701003020id_/https://www.letemps.ch/	200	Site suisse d'information - Le Temps	letemps	300	no	2026-09-14			
che_nau	nau.ch	2020	outlet	A3	A3	https://web.archive.org/web/20200629174122id_/https://www.nau.ch/	200	News für die Schweiz - Nau.ch	nau	300	no	2026-09-14			
che_nau	nau.ch	2024	outlet	A3	A3	https://web.archive.org/web/20240630231708id_/https://www.nau.ch/	200	News für die Schweiz - Nau.ch	nau	300	no	2026-09-14			
che_nau	nau.ch	2026	outlet	A3	A3	https://web.archive.org/web/20260703171051id_/https://www.nau.ch/	200		(body) nau	300	no	2026-09-14			
che_nouvelliste	lenouvelliste.ch	2020	outlet	A3	A3	https://web.archive.org/web/20200701121832id_/https://www.lenouvelliste.ch/	200	Le Nouvelliste - Actualités du Valais, Nationales et Internationales	lenouvelliste	300	no	2026-09-14			
che_nouvelliste	lenouvelliste.ch	2023	outlet	A3	A3	https://web.archive.org/web/20230630235450id_/http://www.lenouvelliste.ch/	200	Le Nouvelliste | Site d'informations régionales valaisannes, sportive, suisse et internationale	lenouvelliste	166	no	2026-09-14			
che_nzz	nzz.ch	2023	outlet	A3	A3	https://web.archive.org/web/20230630234912id_/https://www.nzz.ch/	200	NZZ – Neue Zürcher Zeitung | Aktuelle News, Hintergründe & mehr	zurcher	300	no	2026-09-14			
che_rts	rts.ch	2020	outlet	A3	A3	https://web.archive.org/web/20200630173717id_/https://www.rts.ch/	200	Radio Télévision Suisse - rts.ch	rts	300	no	2026-09-14			
che_rts	rts.ch	2021	outlet	A3	A3	https://web.archive.org/web/20210630234004id_/https://www.rts.ch/	200	Radio Télévision Suisse - rts.ch	rts	300	no	2026-09-14			
che_rts	rts.ch	2024	outlet	A3	A3	https://web.archive.org/web/20240701025341id_/https://www.rts.ch/	200	Radio Télévision Suisse - rts.ch	rts	300	no	2026-09-14			
che_sonntagsblick	blick.ch	2019	outlet	shared		https://web.archive.org/web/20190630232116id_/https://www.blick.ch/	200	BLICK: Nachrichten und Schlagzeilen aus der Schweiz und aller Welt			yes	2026-09-14			
che_sonntagsblick	blick.ch	2022	outlet	shared		https://web.archive.org/web/20220701002904id_/https://www.blick.ch/	200	Blick: Nachrichten und Schlagzeilen aus der Schweiz und aller Welt			yes	2026-09-14			
che_srf	srf.ch	2020	outlet	A3	A3	https://web.archive.org/web/20200701004447id_/https://www.srf.ch/	200	Schweizer Radio und Fernsehen (SRF)	srf	300	no	2026-09-14			
che_srf	srf.ch	2021	outlet	A3	A3	https://web.archive.org/web/20210630213059id_/https://www.srf.ch/	200	Schweizer Radio und Fernsehen (SRF)	srf	300	no	2026-09-14			
che_srf	srf.ch	2022	outlet	A3	A3	https://web.archive.org/web/20220701000553id_/https://www.srf.ch/	200	Schweizer Radio und Fernsehen (SRF)	srf	300	no	2026-09-14			
che_tagesanzeiger	tagesanzeiger.ch	2025	outlet	A3	A3	https://web.archive.org/web/20250701001806id_/https://www.tagesanzeiger.ch/	200	Tages-Anzeiger | Aktuelle Nachrichten und Hintergründe.	tagesanzeiger	300	no	2026-09-14			
che_tdg	tdg.ch	2017	outlet	A3	A3	https://web.archive.org/web/20170701020530id_/http://www.tdg.ch/	200	Tribune de Genève, l'actualité en direct, en photos et vidéos : politique, sports, people, culture, économie, média	tribune	300	no	2026-09-14			
che_teletext	teletext.ch	2017	aggregator	A3	A3	https://web.archive.org/web/20170701024717id_/http://www.teletext.ch/	200	teletext.ch -  SRF1 100	teletext	166	no	2026-09-14			
che_teletext	teletext.ch	2018	aggregator	A3	A3	https://web.archive.org/web/20180629180903id_/http://www.teletext.ch/	200	teletext.ch -  SRF1 100	teletext	132	no	2026-09-14			
